Bank,Year,STATE_SHARE,LOANS,ASSETS,DEPOSITS_ASSETS,PROFIT_BT_ASSETS,COST_TO_INCOME,EQUITY_ASSETS,LLOSS_RES_ON_GLOANS
236,2011,0.00,2 138 954.68,3 504 679.07,0.75,2.26,85.33,0.15,9.47
237,2005,0.00,228 437.43,405 753.51,0.89,1.43,80.51,0.10,1.87
237,2007,0.00,786 203.15,1 220 649.20,0.87,1.90,63.29,0.09,3.37
237,2008,0.00,909 953.60,1 342 146.51,0.82,0.21,64.49,0.13,5.83
237,2009,0.00,1 014 792.90,1 963 698.79,0.87,0.30,52.86,0.09,9.09
237,2010,0.00,1 604 142.75,2 720 007.51,0.81,1.11,65.68,0.07,6.79
237,2011,0.00,2 069 710.26,3 381 397.06,0.82,1.08,54.59,0.07,7.29
238,2005,0.00,289 630.86,571 576.50,0.63,3.96,44.53,0.11,6.13
238,2006,0.00,614 862.27,1 044 605.04,0.76,1.38,57.90,0.11,5.44
238,2007,0.00,1 218 571.49,1 806 397.70,0.68,2.56,49.99,0.09,4.16
238,2008,0.00,1 262 038.68,1 870 052.88,0.80,1.70,50.13,0.10,5.45
238,2009,0.00,1 377 520.30,1 972 702.17,0.74,1.06,35.71,0.12,10.65
238,2010,0.00,1 731 153.69,2 428 763.99,0.74,2.15,45.14,0.12,10.16
238,2011,0.00,2 340 597.11,3 175 729.29,0.77,0.67,51.46,0.11,9.36
239,2005,0.00,439 018.21,586 888.48,0.78,1.48,42.68,0.15,0.58
239,2006,0.00,581 140.20,849 729.93,0.59,1.32,59.83,0.12,0.61
239,2007,0.00,1 112 737.27,1 596 140.23,0.75,1.90,60.83,0.09,0.79
239,2008,0.00,1 472 833.43,2 231 355.05,0.66,1.01,98.36,0.06,1.05
239,2009,0.00,698 151.20,1 133 434.16,0.46,3.13,98.67,0.14,4.64
239,2010,0.00,1 127 038.60,2 023 592.81,0.54,2.05,89.30,0.09,2.56
239,2011,0.00,1 999 214.34,3 139 938.94,0.41,0.77,93.81,0.07,2.15
240,2008,0.00,194 326.26,3 624 083.85,0.85,1.56,94.39,0.07,0.05
240,2009,0.00,89 179.29,2 676 114.84,0.78,4.41,91.69,0.14,0.55
240,2010,0.00,133 388.20,2 397 021.39,0.74,3.11,78.79,0.18,1.62
240,2011,0.00,1 875 907.48,3 113 997.91,0.84,0.87,90.12,0.13,2.47
241,2005,0.00,416 850.53,492 657.02,0.35,1.64,51.16,0.08,4.20
241,2006,0.00,895 184.77,1 079 373.81,0.57,0.95,52.43,0.10,4.14
241,2007,0.00,1 810 292.40,2 122 136.99,0.53,1.30,59.20,0.14,3.20
241,2008,0.00,1 826 040.55,2 294 999.46,0.44,2.34,45.98,0.17,5.46
241,2009,0.00,1 584 611.24,2 294 892.87,0.47,2.76,39.97,0.18,7.29
241,2010,0.00,1 984 466.85,2 785 637.54,0.56,3.79,48.65,0.17,3.67
241,2011,0.00,2 503 147.85,3 040 020.31,0.52,3.55,50.47,0.16,3.34
242,2005,0.00,344 834.55,690 030.43,0.78,5.70,25.96,0.16,4.18
242,2006,0.00,710 145.03,1 219 257.82,0.80,4.62,33.66,0.14,3.23
242,2007,0.00,1 213 177.58,2 103 209.42,0.78,2.14,51.19,0.12,2.92
242,2008,0.00,1 085 604.72,1 968 410.97,0.80,1.86,56.73,0.12,4.71
242,2009,0.00,725 405.19,1 846 704.46,0.80,2.69,41.20,0.14,12.14
242,2010,0.00,1 145 920.31,2 373 315.44,0.81,2.82,39.09,0.12,10.39
242,2011,0.00,1 341 482.33,2 888 632.42,0.82,3.96,41.56,0.13,5.80
243,2005,0.00,521 626.01,649 849.76,0.58,2.59,33.32,0.15,6.50
243,2006,0.00,781 167.51,1 253 624.03,0.67,1.57,53.46,0.10,6.55
243,2007,0.00,1 686 098.02,2 893 955.02,0.69,1.17,47.37,0.10,7.51
243,2008,0.00,1 690 188.07,2 863 613.24,0.78,-0.70,80.48,0.07,8.97
243,2009,0.00,1 700 160.67,3 264 784.60,0.76,0.11,63.84,0.06,11.35
243,2010,0.00,1 196 676.78,3 004 537.75,0.77,1.75,78.97,0.08,14.21
243,2011,0.00,1 424 750.17,2 854 354.97,0.79,1.86,61.26,0.10,11.87
244,2006,0.00,175 467.83,282 697.83,0.70,2.50,37.17,0.14,0.67
244,2007,0.00,276 259.42,449 998.40,0.60,2.01,42.70,0.13,0.70
244,2008,0.00,472 479.56,856 758.21,0.70,1.57,92.02,0.09,0.59
244,2009,0.00,716 418.52,1 605 174.38,0.70,1.34,96.66,0.06,0.67
244,2010,0.00,1 043 146.15,2 315 367.78,0.71,1.01,64.51,0.07,0.57
244,2011,0.00,1 444 114.57,2 840 352.66,0.69,1.83,59.80,0.08,1.44
245,2005,0.00,332 325.00,475 186.54,0.66,1.29,53.34,0.14,8.44
245,2006,0.00,810 454.70,1 151 989.08,0.64,1.21,83.44,0.11,3.82
245,2007,0.00,1 394 279.86,2 078 479.32,0.56,1.34,77.99,0.11,3.62
245,2008,0.00,1 126 711.82,1 796 365.22,0.51,1.23,95.99,0.14,4.37
245,2009,0.00,1 624 145.64,2 408 970.65,0.54,0.54,99.06,0.10,4.61
245,2010,0.00,2 035 127.31,2 787 025.61,0.51,1.03,91.29,0.10,4.80
245,2011,0.00,2 045 283.11,2 774 141.28,0.54,0.74,95.10,0.10,6.47
246,2005,0.00,559 770.72,852 646.61,0.58,4.47,40.74,0.19,4.36
246,2006,0.00,801 398.34,1 489 713.67,0.58,3.12,45.02,0.14,4.23
246,2007,0.00,1 330 988.07,2 059 878.89,0.64,2.61,51.59,0.14,3.47
246,2008,0.00,1 270 898.32,1 822 899.00,0.69,1.98,49.69,0.17,5.44
246,2009,0.00,1 186 954.84,1 802 140.55,0.68,1.01,52.03,0.17,8.59
246,2010,0.00,1 221 774.48,2 053 758.67,0.64,1.09,67.25,0.16,8.33
246,2011,0.00,1 547 799.24,2 582 905.95,0.70,1.00,58.20,0.15,8.30
247,2005,0.00,492 953.79,824 968.82,0.60,1.42,79.73,0.11,2.28
247,2006,0.00,681 150.04,1 188 216.28,0.41,1.34,77.96,0.09,2.40
247,2007,0.00,1 047 546.61,1 809 272.44,0.36,0.71,90.23,0.09,1.58
247,2008,0.00,1 001 929.75,1 785 139.64,0.34,8.19,79.76,0.15,7.48
247,2010,0.00,911 273.09,2 308 110.74,0.32,0.55,93.64,0.08,12.56
247,2011,0.00,1 187 945.10,2 506 524.87,0.34,1.43,83.74,0.08,6.01
248,2006,0.00,1 225 862.18,2 641 192.33,0.70,5.79,33.62,0.14,4.35
248,2007,0.00,2 017 664.61,3 747 219.46,0.69,1.52,57.27,0.13,4.14
248,2010,50.01,1 228 176.05,2 273 689.16,0.79,0.27,49.46,0.12,23.04
248,2011,50.00,1 407 282.22,2 479 182.21,0.80,2.31,48.75,0.11,19.83
249,2005,0.00,556 560.43,924 950.96,0.86,0.94,63.29,0.07,11.91
249,2006,0.00,747 279.83,1 388 700.04,0.86,3.40,58.68,0.08,10.56
249,2007,0.00,1 217 475.60,1 908 042.76,0.84,2.77,68.60,0.09,6.82
249,2008,0.00,1 207 420.63,1 653 840.71,0.86,2.29,66.18,0.08,6.21
249,2009,0.00,930 713.97,1 630 758.93,0.84,1.17,66.38,0.10,9.67
249,2010,0.00,1 303 134.45,2 033 379.30,0.86,1.06,63.53,0.10,8.75
249,2011,0.00,1 378 570.67,2 310 360.53,0.86,2.25,55.05,0.09,9.75
250,2007,0.00,3 691 068.21,5 774 262.31,0.75,5.66,35.15,0.14,0.19
250,2010,0.00,2 116 064.87,3 785 086.26,0.36,0.24,63.00,0.07,12.93
250,2011,0.00,916 688.65,2 293 411.27,0.62,0.96,50.23,0.12,26.88
251,2005,0.00,265 967.42,570 443.73,0.56,6.36,57.59,0.23,2.58
251,2006,0.00,531 051.03,1 038 804.14,0.55,5.86,60.48,0.19,3.52
251,2007,0.00,818 936.89,1 444 765.97,0.53,6.44,30.93,0.19,3.69
251,2008,0.00,958 941.67,1 357 877.61,0.45,1.68,97.34,0.18,11.43
251,2009,0.00,1 121 448.86,1 682 454.75,0.47,2.42,96.77,0.16,14.26
251,2010,0.00,1 246 910.33,2 184 557.83,0.35,2.42,90.35,0.13,16.01
251,2011,0.00,1 424 200.70,2 274 338.12,0.28,1.70,94.06,0.12,16.22
252,2005,0.00,674 451.52,1 288 255.07,0.59,3.77,62.90,0.24,6.67
252,2006,0.00,1 489 842.79,2 172 085.46,0.71,1.60,65.91,0.14,4.47
252,2007,0.00,1 658 892.18,2 716 196.35,0.72,1.58,81.26,0.10,3.62
253,2005,32.62,766 201.72,1 627 568.90,0.81,2.62,53.68,0.17,3.15
253,2006,32.62,1 000 235.45,2 063 126.85,0.82,3.02,40.25,0.17,3.87
253,2007,27.79,835 021.29,2 005 882.75,0.78,2.69,61.19,0.21,4.27
253,2008,27.78,726 885.97,1 621 492.61,0.74,0.62,75.24,0.21,5.21
253,2009,29.78,547 896.78,1 254 481.83,0.59,5.58,43.66,0.33,7.00
253,2010,30.66,446 049.29,1 206 953.42,0.56,2.23,77.47,0.36,3.59
253,2011,0.00,311 571.89,2 165 296.37,0.78,0.38,83.78,0.19,2.31
254,2006,0.00,386 588.48,451 845.91,0.55,2.17,51.82,0.11,0.60
254,2007,0.00,950 949.62,1 181 747.05,0.62,1.55,48.31,0.10,0.54
254,2008,0.00,1 630 648.37,1 903 428.87,0.78,1.73,34.98,0.09,0.84
254,2011,0.00,1 941 421.44,2 092 517.37,0.63,4.15,29.83,0.17,0.42
255,2005,0.00,187 961.44,440 357.88,0.64,5.12,29.25,0.16,5.62
255,2006,0.00,497 161.15,966 245.23,0.56,3.17,30.18,0.10,3.53
255,2007,0.00,647 953.64,1 235 877.63,0.63,3.54,30.53,0.12,3.70
255,2008,0.00,620 226.43,1 089 535.91,0.67,-0.16,69.26,0.14,4.14
255,2009,0.00,702 356.14,1 305 589.15,0.66,0.92,29.69,0.14,9.58
255,2010,0.00,871 404.21,2 055 717.53,0.73,1.21,37.27,0.10,11.96
256,2005,0.00,166 336.81,366 636.30,0.82,1.56,67.35,0.10,1.88
256,2006,0.00,289 810.72,533 885.51,0.80,1.60,60.96,0.09,2.12
256,2007,0.00,380 679.32,746 602.60,0.78,2.21,47.84,0.08,4.01
256,2008,0.00,468 252.69,838 607.40,0.75,1.58,95.86,0.08,5.91
256,2009,0.00,565 970.32,1 228 717.48,0.71,1.81,97.51,0.08,8.75
256,2010,0.00,784 791.07,1 585 884.26,0.73,1.59,94.10,0.07,11.03
256,2011,0.00,970 021.04,2 038 876.31,0.74,2.02,90.32,0.08,11.11
257,2005,0.00,408 290.78,559 315.93,0.78,1.65,69.72,0.08,5.05
257,2006,0.00,691 584.66,903 581.99,0.79,3.51,54.12,0.08,2.92
257,2007,0.00,619 189.40,828 499.51,0.80,2.88,68.25,0.10,3.55
257,2008,0.00,649 132.16,919 504.15,0.82,1.66,93.06,0.08,4.64
257,2009,0.00,865 327.35,1 141 730.07,0.78,1.38,96.76,0.08,4.62
257,2010,0.00,1 056 330.82,1 510 674.35,0.67,2.85,85.00,0.09,4.27
257,2011,0.00,1 269 986.87,1 941 822.98,0.74,2.86,88.17,0.08,4.40
258,2006,0.00,179 324.07,736 129.51,0.52,5.96,32.39,0.34,28.16
258,2007,0.00,331 175.49,909 725.32,0.50,8.66,26.05,0.35,16.05
259,2006,0.00,366 774.91,584 231.04,0.65,1.25,67.39,0.26,10.42
259,2007,0.00,523 768.97,911 629.16,0.66,1.06,62.70,0.18,10.88
259,2008,0.00,276 931.13,521 653.91,0.59,-2.41,104.00,0.18,21.66
259,2010,0.00,706 394.68,1 154 895.60,0.59,-1.41,112.08,0.23,18.42
260,2005,0.00,184 973.52,330 402.17,0.52,2.76,69.57,0.23,2.48
260,2006,0.00,465 635.69,630 588.92,0.64,1.75,69.77,0.15,1.54
260,2007,0.00,824 494.20,1 140 974.96,0.58,1.63,60.81,0.12,1.41
260,2008,0.00,726 252.90,1 118 895.62,0.62,1.51,60.26,0.14,4.05
260,2009,0.00,652 382.93,1 098 286.60,0.68,2.53,38.15,0.16,7.49
260,2010,0.00,1 085 077.51,1 639 881.29,0.73,2.03,51.44,0.12,3.96
260,2011,0.00,1 090 200.34,1 868 937.50,0.73,2.10,54.72,0.12,3.80
261,2005,0.00,138 000.53,232 085.48,0.68,1.45,79.08,0.17,2.91
261,2006,0.00,239 526.64,413 009.71,0.65,1.77,74.90,0.12,1.59
261,2007,0.00,547 050.04,881 806.54,0.57,2.17,59.06,0.08,1.58
261,2008,0.00,638 895.34,959 347.08,0.52,1.11,95.79,0.09,2.17
261,2009,0.00,707 750.77,1 324 964.98,0.49,0.53,99.00,0.07,6.73
261,2010,0.00,1 066 545.44,1 618 504.44,0.38,0.60,95.24,0.07,5.25
261,2011,0.00,1 287 236.63,1 806 616.29,0.36,1.13,88.71,0.06,4.02
262,2005,0.00,57 223.14,74 470.05,0.60,4.36,37.87,0.12,5.84
262,2006,0.00,123 068.16,177 418.26,0.56,3.16,46.10,0.12,11.80
262,2007,0.00,310 411.42,401 826.83,0.54,4.47,43.79,0.13,8.40
262,2008,0.00,302 570.09,482 097.09,0.51,4.06,89.16,0.18,12.82
262,2009,0.00,396 733.11,679 783.31,0.61,1.03,98.18,0.14,17.90
262,2010,0.00,810 521.08,1 365 883.65,0.47,5.54,82.26,0.14,9.57
262,2011,0.00,1 328 010.29,1 793 101.43,0.47,4.84,80.35,0.13,5.92
263,2005,0.00,281 129.17,471 633.83,0.69,3.05,65.08,0.16,3.54
263,2006,0.00,600 799.05,905 112.20,0.62,2.80,60.01,0.18,2.57
263,2007,0.00,1 170 172.96,1 607 625.59,0.60,2.41,54.57,0.13,2.23
263,2008,0.00,1 045 278.52,1 724 054.18,0.68,0.88,56.92,0.11,4.12
263,2009,0.00,869 145.14,1 418 850.53,0.66,0.22,53.08,0.13,7.13
263,2010,0.00,1 004 849.54,1 584 127.59,0.71,0.66,53.10,0.12,8.15
263,2011,0.00,1 321 563.77,1 693 900.78,0.72,2.14,51.27,0.12,6.08
264,2005,0.00,148 836.90,215 860.58,0.64,1.18,69.37,0.07,3.66
264,2006,0.00,211 216.66,311 442.59,0.37,3.64,55.43,0.08,2.80
264,2007,0.00,408 154.74,563 759.15,0.41,1.65,64.04,0.11,1.78
264,2008,0.00,382 732.41,653 040.04,0.48,0.79,96.03,0.12,1.88
264,2009,0.00,249 864.51,1 167 196.19,0.54,0.52,98.64,0.19,6.78
264,2010,0.00,306 222.31,1 667 233.35,0.63,0.71,89.93,0.13,7.93
264,2011,0.00,382 968.67,1 660 147.31,0.66,0.93,85.55,0.13,8.25
265,2006,0.00,41 611.29,131 439.44,0.82,1.86,44.15,0.13,2.26
265,2007,0.00,116 474.16,279 902.55,0.72,2.96,39.31,0.13,1.95
265,2008,0.00,162 082.21,355 470.94,0.83,2.64,85.25,0.10,5.15
265,2009,0.00,260 197.42,513 305.14,0.83,5.51,89.00,0.11,5.66
265,2010,0.00,408 887.08,1 022 240.41,0.85,2.46,80.05,0.09,5.55
265,2011,0.00,696 081.25,1 622 048.94,0.80,3.04,68.19,0.08,1.98
266,2007,0.00,331 061.42,830 963.64,0.66,3.16,38.97,0.21,7.86
266,2009,0.00,405 942.29,1 280 268.59,0.80,2.23,43.50,0.13,18.43
266,2010,0.00,550 886.06,1 651 004.47,0.78,1.34,47.65,0.11,16.87
266,2011,0.00,723 873.37,1 604 430.32,0.77,2.57,49.56,0.13,12.93
267,2005,100.00,289 992.20,627 409.04,0.82,0.31,101.35,0.10,3.49
267,2006,100.00,590 943.78,978 379.17,0.83,1.81,62.64,0.08,4.28
267,2007,100.00,804 723.32,1 598 956.23,0.87,1.12,70.74,0.07,5.39
267,2008,0.00,813 641.09,1 230 568.72,0.53,0.75,64.78,0.08,7.32
267,2009,0.00,740 363.43,1 480 260.65,0.76,0.26,99.55,0.07,7.44
268,2007,0.00,572 573.91,1 030 894.70,0.78,1.66,64.63,0.15,4.87
268,2008,0.00,555 743.34,862 255.34,0.76,0.87,79.86,0.18,4.53
268,2009,0.00,736 927.73,1 078 976.68,0.81,0.52,75.15,0.14,5.77
268,2010,0.00,848 723.33,1 349 251.74,0.82,0.43,83.08,0.10,5.63
269,2007,0.00,774 099.44,1 202 894.93,0.63,1.75,48.90,0.13,3.27
269,2008,0.00,713 029.80,1 020 850.67,0.58,-0.17,62.25,0.12,4.98
269,2009,0.00,633 417.31,919 326.67,0.63,1.10,41.21,0.15,7.81
269,2010,0.00,879 065.75,1 276 796.47,0.64,0.86,56.93,0.12,5.32
269,2011,0.00,944 021.15,1 443 333.17,0.72,0.75,71.80,0.10,4.10
270,2005,0.00,292 149.76,418 410.51,0.59,-1.48,112.36,0.14,6.07
270,2006,0.00,613 665.96,1 006 460.03,0.59,1.24,71.96,0.10,3.65
270,2007,0.00,1 092 417.54,1 411 741.92,0.58,2.45,53.98,0.19,3.39
271,2006,0.00,421 831.97,1 090 110.16,0.65,2.40,32.34,0.15,4.81
271,2007,0.00,743 915.54,1 372 090.16,0.60,1.84,42.43,0.14,4.03
271,2008,0.00,641 189.38,1 081 111.93,0.67,0.62,46.30,0.14,7.02
271,2009,0.00,646 342.10,1 189 381.75,0.62,0.09,48.70,0.14,10.11
271,2010,0.00,748 012.40,1 285 540.80,0.52,1.85,51.42,0.15,9.33
271,2011,0.00,742 136.45,1 389 311.10,0.55,1.81,61.05,0.14,8.91
272,2005,0.00,280 858.17,596 199.10,0.69,0.78,81.87,0.09,3.46
272,2006,0.00,451 519.30,1 005 647.30,0.73,0.73,69.17,0.07,3.42
272,2007,0.00,829 916.63,1 413 188.17,0.80,0.86,68.18,0.07,3.48
272,2008,0.00,700 143.65,1 379 246.07,0.81,0.51,74.13,0.07,5.33
273,2007,0.00,739 943.44,893 270.63,0.84,2.76,50.90,0.13,2.22
273,2008,0.00,838 252.74,1 325 805.68,0.83,0.95,59.26,0.11,3.16
274,2005,0.00,202 564.07,440 218.90,0.70,2.88,49.47,0.14,3.75
274,2006,0.00,424 927.17,933 777.92,0.61,0.55,66.86,0.11,3.75
274,2007,0.00,592 820.87,1 298 775.35,0.65,1.29,78.08,0.15,2.61
275,2006,0.00,635 667.02,989 719.60,0.76,2.00,67.01,0.15,2.47
275,2007,0.00,676 436.01,1 119 069.86,0.49,2.69,50.33,0.16,1.33
275,2008,0.00,706 009.13,1 028 377.35,0.48,0.95,92.07,0.14,1.94
275,2009,0.00,616 145.34,879 798.60,0.33,1.27,97.16,0.18,4.15
275,2010,0.00,829 258.52,1 197 737.32,0.56,1.01,90.88,0.14,2.81
275,2011,0.00,862 068.28,1 294 338.95,0.51,0.86,89.75,0.12,3.59
276,2005,0.00,233 167.07,283 576.84,0.50,1.18,47.83,0.23,17.16
276,2006,0.00,173 688.79,255 096.67,0.43,1.06,52.17,0.28,26.28
276,2007,0.00,192 561.37,311 115.81,0.49,1.44,43.66,0.25,28.96
276,2008,0.00,185 225.09,290 469.17,0.56,0.82,98.49,0.23,28.61
276,2009,0.00,172 018.83,284 859.71,0.43,0.81,99.28,0.24,29.88
276,2010,0.00,202 285.36,390 737.66,0.49,2.40,89.84,0.19,19.47
276,2011,0.00,624 034.39,1 226 874.26,0.22,2.99,85.10,0.10,11.71
277,2005,0.00,139 887.75,226 843.51,0.66,0.80,90.80,0.07,3.96
277,2006,0.00,163 341.33,283 600.95,0.70,1.01,84.84,0.06,7.98
277,2007,0.00,271 014.78,489 599.97,0.67,0.64,92.50,0.09,6.52
277,2008,0.00,274 831.05,465 767.19,0.70,0.62,99.01,0.09,11.01
277,2009,0.00,215 935.97,646 408.58,0.72,0.48,99.46,0.10,19.35
277,2010,0.00,167 276.72,1 003 142.34,0.73,0.40,98.22,0.06,26.95
277,2011,0.00,392 324.84,1 170 717.14,0.71,1.70,93.68,0.05,17.40
278,2005,0.00,957 064.23,1 039 645.66,0.85,3.28,25.01,0.15,0.01
278,2007,0.00,1 545 471.90,1 987 423.80,0.23,3.11,65.93,0.13,0.02
278,2008,0.00,1 833 902.73,2 894 565.82,0.29,1.11,98.14,0.08,1.27
278,2009,0.00,530 656.78,1 084 526.66,0.14,4.48,98.63,0.25,8.25
278,2010,0.00,264 992.39,1 338 379.93,0.45,3.91,64.22,0.27,0.56
278,2011,0.00,401 462.03,1 157 506.38,0.42,0.75,87.38,0.30,0.58
279,2005,0.00,335 170.73,977 930.83,0.26,1.63,71.77,0.09,0.92
279,2006,0.00,503 615.11,1 293 842.17,0.23,1.09,71.85,0.07,1.67
279,2007,0.00,705 014.69,1 724 987.10,0.27,0.95,75.14,0.11,2.31
279,2008,0.00,824 653.81,1 594 895.93,0.17,0.66,98.74,0.09,3.11
279,2009,0.00,604 308.30,1 764 705.44,0.42,0.49,99.54,0.09,7.12
279,2010,0.00,514 446.33,1 297 393.94,0.16,-1.92,118.61,0.10,15.75
279,2011,0.00,568 052.39,1 143 873.68,0.14,1.98,87.84,0.15,15.24
280,2005,0.00,211 986.70,294 146.18,0.71,0.97,60.20,0.14,9.65
280,2006,0.00,265 381.09,382 343.92,0.75,1.62,53.20,0.12,6.41
280,2007,0.00,340 167.23,490 657.28,0.77,2.50,50.56,0.12,6.21
280,2008,0.00,289 512.06,472 055.94,0.73,1.53,92.54,0.16,7.08
280,2009,0.00,328 024.75,705 105.77,0.66,0.67,98.87,0.11,6.60
280,2010,0.00,606 684.12,1 027 064.65,0.52,0.88,87.53,0.08,2.72
280,2011,0.00,711 982.49,1 085 961.88,0.45,1.19,86.78,0.08,3.70
281,2005,0.00,50 521.53,97 056.93,0.38,2.32,71.35,0.19,1.85
281,2006,0.00,94 914.07,175 113.91,0.51,1.59,68.23,0.13,1.85
281,2007,0.00,189 528.89,384 902.71,0.56,1.31,72.37,0.08,2.03
281,2008,0.00,238 419.84,560 262.20,0.65,0.52,97.51,0.05,2.54
281,2009,0.00,284 271.05,670 895.45,0.60,1.18,97.93,0.08,4.30
281,2010,0.00,417 873.26,913 303.78,0.55,0.80,89.89,0.07,3.42
281,2011,0.00,415 879.99,1 045 295.90,0.50,1.69,85.30,0.07,2.55
282,2008,0.00,280 124.28,492 157.54,0.73,5.59,63.80,0.18,1.01
282,2009,0.00,392 853.48,716 159.40,0.76,2.42,78.30,0.16,0.81
282,2010,0.00,443 407.97,923 981.27,0.72,2.41,70.94,0.15,1.54
282,2011,0.00,588 477.97,1 031 715.56,0.50,2.29,76.80,0.14,1.70
283,2008,0.00,40 452.04,111 188.11,0.74,1.77,95.83,0.09,6.39
283,2010,0.00,291 176.75,613 502.76,0.63,0.46,96.30,0.08,17.84
283,2011,0.00,580 689.67,1 009 133.94,0.62,1.79,94.16,0.07,9.44
284,2005,0.00,109 308.75,214 566.36,0.63,2.69,56.08,0.07,3.12
284,2006,0.00,205 141.56,306 454.95,0.41,3.05,56.08,0.07,3.35
284,2007,0.00,303 526.53,462 913.97,0.26,1.63,60.72,0.09,5.09
284,2008,0.00,264 489.02,491 556.63,0.43,-0.19,98.45,0.07,10.49
284,2009,0.00,217 118.56,554 225.62,0.28,0.67,98.49,0.07,17.43
284,2010,0.00,275 632.16,744 988.27,0.13,2.87,81.62,0.07,13.40
284,2011,0.00,327 941.58,996 758.62,0.14,2.74,80.15,0.06,12.26
286,2005,0.00,171 180.41,327 497.63,0.77,2.07,72.74,0.11,5.83
286,2006,0.00,266 790.98,448 689.95,0.82,2.91,67.49,0.11,5.19
286,2007,0.00,371 206.13,627 477.97,0.84,2.80,67.26,0.11,5.30
286,2008,0.00,354 331.47,639 371.85,0.83,1.54,63.73,0.11,9.08
286,2009,0.00,313 498.12,661 270.58,0.84,0.85,64.10,0.12,15.21
286,2010,0.00,384 071.20,886 527.14,0.79,4.07,67.13,0.16,10.05
286,2011,0.00,453 036.23,941 576.76,0.82,0.81,68.25,0.17,11.49
287,2005,0.00,252 559.73,399 989.59,0.76,1.83,70.19,0.15,7.90
287,2006,0.00,393 189.04,610 821.42,0.84,1.68,68.11,0.13,8.32
287,2007,0.00,504 273.57,776 576.40,0.83,2.44,68.66,0.14,7.07
287,2008,0.00,485 177.21,800 121.87,0.74,0.69,56.50,0.21,9.49
287,2009,0.00,368 619.43,780 847.22,0.76,1.21,48.63,0.20,17.02
287,2010,0.00,438 463.21,934 766.95,0.78,2.98,56.13,0.19,14.45
288,2006,0.00,462 498.26,654 394.45,0.32,1.62,55.49,0.18,0.78
288,2007,0.00,1 139 658.75,1 474 386.32,0.13,0.76,72.85,0.09,1.32
288,2008,0.00,1 716 825.96,2 081 062.27,0.21,0.84,98.99,0.09,1.30
288,2009,0.00,1 435 986.93,1 947 024.03,0.20,-1.12,100.55,0.09,5.97
288,2010,0.00,781 343.84,1 207 956.63,0.20,-2.29,114.38,0.11,11.02
288,2011,0.00,571 697.96,900 889.06,0.33,0.78,96.41,0.14,14.65
289,2005,0.00,141 234.58,229 826.12,0.56,2.00,58.99,0.25,5.07
289,2006,0.00,195 074.95,296 055.73,0.47,2.84,52.88,0.23,2.81
289,2007,0.00,280 159.90,412 167.05,0.44,3.86,50.22,0.21,1.88
289,2008,0.00,224 337.52,559 899.92,0.64,2.14,81.07,0.15,2.87
289,2009,0.00,290 078.50,824 306.20,0.71,1.54,89.40,0.11,6.46
289,2010,0.00,344 572.11,614 880.36,0.54,2.13,81.56,0.14,5.48
289,2011,0.00,490 133.92,878 577.23,0.41,3.20,67.22,0.18,3.33
290,2007,0.00,463 517.77,734 626.94,0.75,2.57,60.79,0.12,3.17
290,2008,0.00,421 362.55,677 734.16,0.77,1.48,65.86,0.13,5.04
290,2010,0.00,434 371.59,812 848.39,0.84,-0.40,84.98,0.10,7.93
290,2011,0.00,545 218.20,863 418.22,0.82,0.79,74.26,0.10,5.92
291,2005,0.00,101 672.90,161 827.51,0.85,2.07,67.88,0.10,9.54
291,2006,0.00,282 916.40,391 757.27,0.73,2.46,56.20,0.12,5.74
291,2007,0.00,524 887.75,746 278.43,0.79,3.22,58.80,0.10,3.15
291,2008,0.00,505 078.23,752 311.09,0.83,0.90,52.22,0.09,7.50
291,2009,0.00,457 839.84,741 791.80,0.76,1.97,48.28,0.10,12.38
291,2010,0.00,533 794.43,860 796.18,0.77,1.89,49.31,0.10,13.87
292,2007,98.64,243 353.35,427 475.53,0.77,2.01,68.75,0.12,3.28
292,2008,97.05,258 934.54,454 789.60,0.77,1.12,71.86,0.22,4.68
292,2009,97.05,232 394.97,575 836.02,0.81,0.80,85.22,0.18,6.20
292,2010,97.05,350 130.74,793 121.97,0.86,0.38,81.97,0.13,5.20
292,2011,98.04,480 511.61,859 104.04,0.87,0.51,72.07,0.12,6.04
293,2005,0.00,387 479.14,516 246.14,0.76,4.14,56.09,0.07,0.80
293,2006,0.00,626 443.67,821 039.83,0.64,5.16,51.23,0.10,1.02
293,2007,0.00,857 006.61,1 143 301.84,0.67,4.62,52.92,0.09,0.97
293,2008,0.00,747 353.43,1 020 807.24,0.55,3.10,89.34,0.11,2.74
293,2009,0.00,552 449.85,756 111.68,0.57,0.85,98.56,0.14,6.81
293,2010,0.00,507 864.40,730 561.68,0.48,0.85,96.51,0.15,8.97
293,2011,0.00,582 892.14,848 654.01,0.61,0.66,96.75,0.12,10.03
294,2006,0.00,98.74,520 291.10,0.58,7.89,62.12,0.40,98.32
294,2008,0.00,1 689.73,400 374.58,0.32,8.31,90.17,0.63,48.04
294,2009,0.00,22 977.46,368 684.98,0.23,11.33,82.84,0.69,12.31
294,2010,0.00,40 347.34,693 858.37,0.58,6.88,76.24,0.36,4.28
294,2011,0.00,85 288.59,848 373.85,0.61,5.74,83.42,0.31,2.10
295,2005,0.00,310 442.12,478 770.11,0.86,3.32,69.71,0.11,3.30
295,2006,0.00,406 693.98,720 611.74,0.87,2.75,56.56,0.10,4.39
